,player_name,height (in),pts,reb,ast,college,country,team,Height Range
156,Davon Reed,77.5,2.1,1.25,0.44999999999999996,Miami,USA,PHX,"6'4"" - 6'6"""
157,De'Aaron Fox,75.0,14.45,3.3,5.85,Kentucky,USA,SAC,"6'1"" - 6'3"""
158,De'Anthony Melton,76.0,5.0,2.7,3.2,USC,USA,PHX,"6'4"" - 6'6"""
159,DeAndre Jordan,83.0,11.9,14.033333333333331,1.6666666666666667,Texas A&M,USA,LAC,"6'10"" - 7'"
160,DeAndre Liggins,78.0,2.1,1.5,0.8500000000000001,Kentucky,USA,NOP,"6'4"" - 6'6"""
161,DeAndre' Bembry,78.0,5.433333333333334,2.9333333333333336,1.7,None,USA,ATL,"6'4"" - 6'6"""
162,DeMar DeRozan,79.0,23.833333333333332,5.033333333333333,5.1000000000000005,Southern California,USA,TOR,"6'7"" - 6'9"""
163,DeMarcus Cousins,83.0,22.833333333333332,10.700000000000001,4.533333333333333,Kentucky,USA,NOP,"6'10"" - 7'"
164,DeMarre Carroll,80.0,11.166666666666666,5.199999999999999,1.4333333333333333,Missouri,USA,TOR,"6'7"" - 6'9"""
165,DeVaughn Akoon-Purcell,78.0,1.0,0.6,0.9,Illinois State,Trinidad and Tobago,DEN,"6'4"" - 6'6"""
166,Deandre Ayton,85.0,16.3,10.3,1.8,Arizona,Bahamas,PHX,> 7ft
167,Dejounte Murray,77.0,5.75,3.4000000000000004,2.1,Washington,USA,SAS,"6'4"" - 6'6"""
168,Delon Wright,77.0,7.433333333333333,2.733333333333333,2.766666666666667,Utah,USA,TOR,"6'4"" - 6'6"""
169,Demetrius Jackson,73.0,2.266666666666667,0.7000000000000001,0.6666666666666666,Notre Dame,USA,PHI,"6'1"" - 6'3"""
170,Deng Adel,79.0,1.7,1.0,0.3,None,South Sudan,CLE,"6'7"" - 6'9"""
171,Dennis Schroder,73.0,17.599999999999998,3.266666666666667,5.533333333333332,None,Germany,OKC,"6'1"" - 6'3"""
172,Dennis Smith Jr.,75.0,14.399999999999999,3.3499999999999996,5.0,North Carolina State,USA,DAL,"6'1"" - 6'3"""
173,Denzel Valentine,78.0,7.6499999999999995,3.8499999999999996,2.1500000000000004,Michigan State,USA,CHI,"6'4"" - 6'6"""
174,Deonte Burton,77.0,2.6,0.9,0.3,Iowa State,USA,OKC,"6'4"" - 6'6"""
175,Deron Williams,75.0,11.0,2.3,5.6,Illinois,USA,CLE,"6'1"" - 6'3"""
176,Derrick Favors,82.0,11.200000000000001,6.900000000000001,1.2,Georgia Tech,USA,UTA,"6'10"" - 7'"
177,Derrick Jones Jr.,79.0,5.133333333333334,2.8000000000000003,0.5,Nevada-Las Vegas,USA,PHX,"6'7"" - 6'9"""
178,Derrick Rose,75.0,14.799999999999999,2.6333333333333333,3.4,Memphis,USA,MIN,"6'1"" - 6'3"""
