,player_name,height (in),pts,reb,ast,college,country,team,2020-21
438,Khyri Thomas,75.0,2.3,0.8,0.3,Creighton,USA,DET,"$744,684 "
439,Klay Thompson,79.0,21.266666666666666,3.766666666666667,2.3333333333333335,Washington State,USA,GSW,"$35,361,360 "
443,Kris Dunn,76.0,9.500000000000002,3.4999999999999996,4.8,Providence,USA,CHI,"$4,767,000 "
446,Kyle Anderson,81.0,6.433333333333334,4.7,2.3333333333333335,UCLA,USA,MEM,"$9,505,100 "
449,Kyle Kuzma,81.0,17.4,5.9,2.15,Utah,USA,LAL,"$3,562,178 "
450,Kyle Lowry,72.33333333333333,17.599999999999998,5.066666666666666,7.533333333333334,Villanova,USA,TOR,"$30,000,000 "
452,Kyle Singler,80.0,2.3499999999999996,1.15,0.25,Duke,USA,OKC,"$999,200 "
454,Kyrie Irving,75.0,24.466666666666665,4.0,5.933333333333333,Duke,Australia,BOS,"$33,329,100 "
455,LaMarcus Aldridge,83.0,20.566666666666666,8.333333333333334,2.1,Texas,USA,SAS,"$19,078,340 "
460,Landry Shamet,77.0,9.1,1.7,1.5,Wichita State,USA,LAC,"$2,090,040 "
461,Langston Galloway,74.0,7.5,1.9333333333333336,1.1333333333333335,None,USA,DET,"$2,028,594 "
463,Larry Nance Jr.,81.0,8.4,6.966666666666666,1.9666666666666668,Wyoming,USA,LAL,"$11,709,091 "
464,Larry Sanders,83.0,0.8,0.8,0.0,Virginia Commonwealth,USA,CLE,"$1,865,547 "
465,Lauri Markkanen,84.0,16.95,8.25,1.2999999999999998,Arizona,Finland,CHI,"$6,731,508 "
467,LeBron James,80.0,27.099999999999998,8.566666666666666,8.7,None,USA,CLE,"$39,219,565 "
471,Lonzo Ball,78.0,10.05,6.1,6.300000000000001,UCLA,USA,LAL,"$11,003,782 "
473,Lou Williams,73.0,20.033333333333335,2.6666666666666665,4.566666666666667,None,USA,HOU,"$8,000,000 "
480,Luke Kennard,77.0,8.649999999999999,2.65,1.75,Duke,USA,DET,"$5,273,826 "
481,Luke Kornet,85.0,6.85,3.05,1.25,Vanderbilt,USA,NYK,"$2,304,878 "
482,Luol Deng,81.0,5.566666666666666,2.8666666666666667,1.0333333333333334,Duke,United Kingdom,LAL,"$4,990,000 "
484,Malcolm Brogdon,77.0,12.933333333333332,3.533333333333333,3.5333333333333337,Virginia,USA,MIL,"$20,700,000 "
487,Malik Beasley,77.0,6.1000000000000005,1.4666666666666668,0.7333333333333334,Florida State,USA,DEN,"$13,325,895 "
488,Malik Monk,75.0,7.800000000000001,1.45,1.5,Kentucky,USA,CHA,"$5,345,687 "
493,Marc Gasol,85.0,16.766666666666666,7.433333333333334,4.4,None,Spain,TOR,"$2,564,753 "
499,Marcus Morris,81.0,14.0,4.6,2.0,Kansas,USA,DET,"$14,883,721 "
502,Marcus Smart,76.0,9.899999999999999,3.4333333333333336,4.466666666666666,Oklahoma State,USA,BOS,"$13,446,428 "
507,Markelle Fultz,76.0,7.6499999999999995,3.4000000000000004,3.45,Washington,USA,PHI,"$12,288,697 "
508,Markieff Morris,82.0,11.633333333333333,5.566666666666666,1.6666666666666667,Kansas,USA,WAS,"$2,331,593 "
509,Marquese Chriss,82.0,7.033333333333334,4.333333333333333,0.7999999999999999,Washington,USA,CLE,"$1,824,003 "
513,Marvin Bagley III,83.0,14.9,7.6,1.0,Duke,USA,SAC,"$8,963,640 "
515,Mason Plumlee,83.0,8.433333333333332,6.433333333333334,2.8000000000000003,Duke,USA,DEN,"$8,000,000 "
519,Matthew Dellavedova,76.0,5.933333333333333,1.7333333333333332,4.1000000000000005,Saint Mary's (CA),Australia,MIL,"$2,174,318 "
520,Maurice Harkless,81.0,8.066666666666666,3.866666666666667,1.0666666666666667,"St. John's, N.Y.",USA,POR,"$3,623,000 "
522,Maxi Kleber,83.0,6.1,3.9499999999999997,0.85,None,Germany,DAL,"$8,250,000 "
525,Meyers Leonard,85.0,4.9,3.0333333333333337,0.9,Illinois,USA,POR,"$9,400,000 "
527,Michael Carter-Williams,78.0,5.333333333333333,2.8666666666666667,2.4,Syracuse,USA,ORL,"$3,000,000 "
530,Mikal Bridges,79.0,8.3,3.2,2.1,Villanova,USA,PHX,"$4,359,000 "
