,player_name,height (in),pts,reb,ast,college,country,team,2020-21 Salary ($),2020-21 Salary (Millions),Salary Range
184,Kent Bazemore,77.0,11.833333333333336,3.633333333333333,2.733333333333333,Old Dominion,USA,ATL,2320044.0,2.3200439999999998,1M to 2.4M
185,Kentavious Caldwell-Pope,77.0,12.866666666666667,3.8,2.0,Georgia,USA,LAL,12073020.0,12.07302,10M to 14.9M
186,Kevin Durant,81.0,25.83333333333333,7.166666666666668,5.366666666666667,Texas,USA,GSW,39058950.0,39.05895,
187,Kevin Huerter,79.0,9.7,3.3,2.9,Maryland,USA,ATL,2761920.0,2.76192,2.5M to 4.9M
188,Kevin Love,82.0,17.866666666666667,10.433333333333335,1.9333333333333336,UCLA,USA,CLE,31300000.0,31.3,
189,Kevon Looney,81.0,4.266666666666667,3.6,0.8666666666666667,UCLA,USA,GSW,4821429.0,4.821429,2.5M to 4.9M
190,Khem Birch,81.0,4.5,4.05,0.8,UNLV,Canada,ORL,3425463.0,3.4254629999999997,2.5M to 4.9M
191,Khris Middleton,80.0,17.700000000000006,5.133333333333333,3.9,Texas A&M,USA,MIL,33051724.0,33.051724,
192,Khyri Thomas,75.0,2.3,0.8,0.3,Creighton,USA,DET,744684.0,0.744684,< 1M
193,Klay Thompson,79.0,21.266666666666666,3.766666666666667,2.333333333333333,Washington State,USA,GSW,35361360.0,35.36136,
194,Kris Dunn,76.0,9.500000000000002,3.5,4.8,Providence,USA,CHI,4767000.0,4.7669999999999995,2.5M to 4.9M
195,Kyle Anderson,81.0,6.433333333333334,4.7,2.333333333333333,UCLA,USA,MEM,9505100.0,9.5051,7.5M to 9.9M
196,Kyle Kuzma,81.0,17.4,5.9,2.15,Utah,USA,LAL,3562178.0,3.562178,2.5M to 4.9M
197,Kyle Lowry,72.33333333333333,17.599999999999994,5.066666666666666,7.533333333333334,Villanova,USA,TOR,30000000.0,30.0,> 20M
198,Kyle Singler,80.0,2.35,1.15,0.25,Duke,USA,OKC,999200.0,0.9992,< 1M
199,Kyrie Irving,75.0,24.466666666666665,4.0,5.933333333333333,Duke,Australia,BOS,33329100.0,33.3291,
200,LaMarcus Aldridge,83.0,20.566666666666666,8.333333333333334,2.1,Texas,USA,SAS,19078340.0,19.07834,15M to 19.9M
201,Landry Shamet,77.0,9.1,1.7,1.5,Wichita State,USA,LAC,2090040.0,2.09004,1M to 2.4M
202,Langston Galloway,74.0,7.5,1.9333333333333336,1.1333333333333335,None,USA,DET,2028594.0,2.028594,1M to 2.4M
203,Larry Nance Jr.,81.0,8.4,6.966666666666666,1.9666666666666668,Wyoming,USA,LAL,11709091.0,11.709091,10M to 14.9M
204,Larry Sanders,83.0,0.8,0.8,0.0,Virginia Commonwealth,USA,CLE,1865547.0,1.865547,1M to 2.4M
205,Lauri Markkanen,84.0,16.95,8.25,1.2999999999999998,Arizona,Finland,CHI,6731508.0,6.731508,5M to 7.4M
206,LeBron James,80.0,27.1,8.566666666666666,8.7,None,USA,CLE,39219565.0,39.219565,
207,Lonzo Ball,78.0,10.05,6.1,6.300000000000002,UCLA,USA,LAL,11003782.0,11.003782000000001,10M to 14.9M
208,Lou Williams,73.0,20.03333333333333,2.6666666666666665,4.566666666666666,None,USA,HOU,8000000.0,8.0,7.5M to 9.9M
209,Luke Kennard,77.0,8.649999999999999,2.65,1.75,Duke,USA,DET,5273826.0,5.273826000000001,5M to 7.4M
